tipo,id,nome,arquivo_local,url_gerada
AUDIO,1374,"Tua Casa, Tua Morada","C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Casa, Tua Morada.mp3","file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Casa, Tua Morada.mp3"
AUDIO_PB,1374,"Tua Casa, Tua Morada","C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Casa, Tua Morada - PB.mp3","file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Casa, Tua Morada - PB.mp3"
AUDIO,1375,Quero Entregar,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Quero Entregar.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Quero Entregar.mp3
AUDIO_PB,1375,Quero Entregar,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Quero Entregar - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Quero Entregar - PB.mp3
AUDIO,1376,Quero Te Pedir Senhor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Quero Te Pedir Senhor.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Quero Te Pedir Senhor.mp3
AUDIO_PB,1376,Quero Te Pedir Senhor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Quero Te Pedir Senhor - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Quero Te Pedir Senhor - PB.mp3
AUDIO,1381,Um Milagre,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Um Milagre.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Um Milagre.mp3
AUDIO,1593,Medley,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Medley.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Medley.mp3
AUDIO,1655,Eu Pertenço à Luz,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Pertenço à Luz (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Pertenço à Luz (v.2).mp3
AUDIO_PB,1655,Eu Pertenço à Luz,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Pertenço à Luz - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Pertenço à Luz - PB.mp3
AUDIO,1656,Meu Pastor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Meu Pastor (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Meu Pastor (v.2).mp3
AUDIO_PB,1656,Meu Pastor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Meu Pastor - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Meu Pastor - PB.mp3
AUDIO,1657,Confie,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Confie (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Confie (v.2).mp3
AUDIO_PB,1657,Confie,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Confie - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Confie - PB.mp3
AUDIO,1658,Levanto a Cruz,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Levanto a Cruz (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Levanto a Cruz (v.2).mp3
AUDIO_PB,1658,Levanto a Cruz,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Levanto a Cruz - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Levanto a Cruz - PB.mp3
AUDIO,1659,Estou Aqui,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Estou Aqui (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Estou Aqui (v.2).mp3
AUDIO_PB,1659,Estou Aqui,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Estou Aqui - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Estou Aqui - PB.mp3
AUDIO,1660,Missão,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Missão (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Missão (v.2).mp3
AUDIO_PB,1660,Missão,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Missão - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Missão - PB.mp3
AUDIO,1661,Volta para Mim,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Volta para Mim (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Volta para Mim (v.2).mp3
AUDIO_PB,1661,Volta para Mim,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Volta para Mim - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Volta para Mim - PB.mp3
AUDIO,1662,Habita em Mim,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Habita em Mim (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Habita em Mim (v.2).mp3
AUDIO_PB,1662,Habita em Mim,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Habita em Mim - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Habita em Mim - PB.mp3
AUDIO,1663,Seja o Centro,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Seja o Centro (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Seja o Centro (v.2).mp3
AUDIO_PB,1663,Seja o Centro,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Seja o Centro - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Seja o Centro - PB.mp3
AUDIO,1664,Teu Amor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Teu Amor (v.2).mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Teu Amor (v.2).mp3
AUDIO_PB,1664,Teu Amor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Teu Amor - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Teu Amor - PB.mp3
AUDIO,1723,Eu Vou,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Vou.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Vou.mp3
AUDIO_PB,1723,Eu Vou,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Vou - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Vou - PB.mp3
AUDIO,4762,Caminho,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Caminho.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Caminho.mp3
AUDIO_PB,4762,Caminho,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Caminho - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Caminho - PB.mp3
AUDIO,4763,Carta de Amor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Carta de Amor.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Carta de Amor.mp3
AUDIO_PB,4763,Carta de Amor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Carta de Amor - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Carta de Amor - PB.mp3
AUDIO,4764,Digno,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Digno.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Digno.mp3
AUDIO_PB,4764,Digno,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Digno - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Digno - PB.mp3
AUDIO,4765,Ele Vai Agir,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Ele Vai Agir.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Ele Vai Agir.mp3
AUDIO_PB,4765,Ele Vai Agir,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Ele Vai Agir - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Ele Vai Agir - PB.mp3
AUDIO,4766,Graça,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Graça.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Graça.mp3
AUDIO_PB,4766,Graça,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Graça - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Graça - PB.mp3
AUDIO,4767,Intensamente,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Intensamente.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Intensamente.mp3
AUDIO_PB,4767,Intensamente,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Intensamente - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Intensamente - PB.mp3
AUDIO,4768,Jesus,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Jesus.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Jesus.mp3
AUDIO_PB,4768,Jesus,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Jesus - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Jesus - PB.mp3
AUDIO,4769,Nossa Missão,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Missão.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Missão.mp3
AUDIO_PB,4769,Nossa Missão,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Missão - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Missão - PB.mp3
AUDIO,4770,Pra Teu Louvor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Pra Teu Louvor.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Pra Teu Louvor.mp3
AUDIO_PB,4770,Pra Teu Louvor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Pra Teu Louvor - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Pra Teu Louvor - PB.mp3
AUDIO,4771,Santo Espírito,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Santo Espírito.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Santo Espírito.mp3
AUDIO_PB,4771,Santo Espírito,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Santo Espírito - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Santo Espírito - PB.mp3
AUDIO,4772,Usa-me,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Usa-Me.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Usa-Me.mp3
AUDIO_PB,4772,Usa-me,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Usa-Me - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Usa-Me - PB.mp3
AUDIO,4773,Vitória,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Vitória.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Vitória.mp3
AUDIO_PB,4773,Vitória,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Vitória - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Vitória - PB.mp3
AUDIO,4774,És o Ar Que Eu Respiro,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/És o Ar Que Eu Respiro.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/És o Ar Que Eu Respiro.mp3
